"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"46372",19134,852,-0.0945292615382305,29405.1428571429,0,0.748807469806151,0.859511574932457,21,0.01,0.735593220338983,0.867647058823529,"France"
"46373",19135,853,-0.077061977906498,24321.4285714286,0,0.748811234859469,0.859764525802206,21,0.01,0.735593220338983,0.867889908256881,"France"
"46374",19136,854,-0.0194629473851542,22686.2857142857,0,0.748814986159038,0.860016566086854,21,0.01,0.735593220338983,0.868131868131868,"France"
"46375",19137,855,0.101607136973562,16636.2857142857,0,0.748818723780084,0.860267700701838,21,0.01,0.735593220338983,0.868372943327239,"France"
"46376",19138,856,0.0873836067730747,15692.2857142857,0,0.748822447797285,0.860517934527228,21,0.01,0.735593220338983,0.868613138686131,"France"
"46377",19139,857,0.101536064538817,12902.5714285714,0,0.748826158284777,0.860767272408041,21,0.01,0.735593220338983,0.868852459016393,"France"
"46378",19140,858,0.0669171403717435,13056.1428571429,0,0.748829855316159,0.861015719154561,21,0.01,0.735593220338983,0.869090909090909,"France"
"46379",19141,859,0.044148604600311,12981.1428571429,0,0.748833538964496,0.861263279542645,21,0.01,0.735593220338983,0.869328493647913,"France"
"46380",19142,860,-0.0152630509143914,17883.8571428571,0,0.748837209302326,0.861509958314034,21,0.01,0.735593220338983,0.869565217391304,"France"
"46381",19143,861,-0.0199449771484124,18322,0,0.748840866401662,0.861755760176659,21,0.01,0.735593220338983,0.869801084990958,"France"
"46382",19144,862,-0.0271606989998906,18916,0,0.748844510334002,0.862000689804938,21,0.01,0.735593220338983,0.870036101083033,"France"
"46383",19145,863,-0.03201904047205,19507.7142857143,0,0.748848141170326,0.862244751840078,21,0.01,0.735593220338983,0.87027027027027,"France"
"46384",19146,864,-0.0410977580861253,22408.5714285714,0,0.748851758981107,0.862487950890366,21,0.01,0.735593220338983,0.870503597122302,"France"
"46385",19147,865,-0.0409418287982522,22635.7142857143,0,0.748855363836312,0.862730291531464,21,0.01,0.735593220338983,0.870736086175943,"France"
"46386",19148,866,-0.0408483834836237,23221.7142857143,0,0.748855363836312,0.86121466734793,21,0.01,0.733108108108108,0.870736086175943,"France"
"46387",19149,867,-0.0464323834674209,23443.4285714286,0,0.748855363836312,0.859704359051052,21,0.01,0.730639730639731,0.870736086175943,"France"
"46388",19150,868,-0.0347477411325412,20084.7142857143,0,0.748855363836312,0.858199338722452,21,0.01,0.728187919463087,0.870736086175943,"France"
"46389",19151,869,-0.0870660948057817,24040.2857142857,0,0.748855363836312,0.856699578638906,21,0.01,0.725752508361204,0.870736086175943,"France"
"46390",19152,870,-0.0768758805035169,26151,0,0.748855363836312,0.855205051270648,21,0.01,0.723333333333333,0.870736086175943,"France"
"46391",19153,871,-0.0927990251060783,22574.4285714286,0,0.748855363836312,0.853715729279678,21,0.01,0.720930232558139,0.870736086175943,"France"
